UID	昵称	真琴	香织	栞	惠理子	日和莉	美美	珠希	忍	由加莉	咲恋	可可萝	深月	茜里	凯露	玲奈	千歌	亚里莎	姬塔	怜	镜华	伊利亚	静流	美里	莫妮卡	绫音
1062313288389	s1樰	5	5	5	4	5	5	4	3	5	4	4	5	5	4	4	2	3	3	3	N	5	4	2	3	2
1108562862752	两仪 式	5	5	5	4	5	5	4	3	5	4	4	4	5	4	4	2	3	N	4	5	5	4	2	3	2
1348960149136	露娜	4	5	5	4	5	5	5	3	5	5	4	4	5	5	4	2	3	N	4	3	5	5	2	3	2
1392594142790	兰佩鲁奇	5	5	5	4	5	5	5	3	5	5	4	4	5	5	5	2	4	4	3	4	5	4	2	4	2
1302356576354	阿洪	5	5	5	4	5	5	5	3	5	4	4	5	5	5	4	3	3	3	3	N	5	N	2	3	2
1106415659573	少放辣椒	4	5	5	5	5	5	5	3	5	5	5	5	5	5	5	2	4	3	4	4	5	4	2	3	2
1411231123591	Tina	5	5	5	4	5	5	4	3	5	4	4	4	5	5	4	2	3	3	N	N	5	3	2	3	差星级
1093955425973	笨蛋草莓	3(保留唯一3x狼)	5	5	4	5	5	4	3	5	5	4	4	5	5	4	2	4	3	3	5	N	4	2	4	2
1111258667564	神月	4	5	5	4	5	5	4	3	5	4	4	5	5	5	4	2	N	3	N	5	5	4	2	N	2
1095513694793	乾巧	4	5	5	5	5	5	4	3	5	4	5	5	5	5	4	2	4	3	3	3	5	3	2	N	2
1180575301133	文废渊	4	5	5	4	5	5	5	3	5	5	4（+150碎片）	5	5	5	4	2	3	无	5	4	5	5	2	3	3
签到后蓝色	星级rank推荐	4xR9-4不要盔甲	5	5	4	4	5	4	3，屯碎片	5	4	4xR9-4不要手镯	4xR9-4不要手镯	5	5	4	2xR8-6	3	3	4	5	5	3	2	3	3
1422594808315	英普洛001	4	5	5	4	4	5	5	3	5	4	4	5	5	5	4	3	4	3	4	5	5	4	2	4	差星级
1379971857998	青秧	5	5	5	4	4	5	5	3	5	5	4	5	5	5	5	2	3	3	4	5	5	4	2	3	2
1004384222700	油条条	4	5	5	4	4	5	5	3	5	5	4	5	5	5	5	2	4	3	3	5	5	5	2	4	2
1157293713932	JJ莫有聪婶	4	5	5	4	4	5	5	3	5	4	4	5	5	4	4	2	3	3	N	5	5	4	2	4	2
1055450769951	黑猫	4	5	5	4	4	5	5	3	5	5	4	4	5	4	4	2	N	3	3	3	5	4	2	3	2
1276897297949	司瑛士	4	5	5	4	4	5	5	3,120	5	5	4	5	5	4	4	2	4	3	3	4	5	4	3	5	2
1100012715524	HelloWord@	4	5	5	4	4	5	4	3	5	5	4	4	5	4	4	2	3	N	4	3	5	4	2	3	2
1162740523500	NTR	4	5	5	4	4	5	4	3	5	4	4	4	5	4	4	2	3	3	N	3	5	3(124碎片)	2	3	2
1092021061114	李维特安	5	5	5	5	4	5	5	3	5	5	5	5	5	5	4	2	4	3	4	5	5	5	2	3	2
1281599505980	浅夏whl	4	5	5	4	4	5	4	3	5	5	4	4	5	4	4	2	3	3	4	N	5	3	2	4	2
1356075358721	802箱崎智纱	4	5	5	4	4	5	4	3	4	5	4	4	5	5	4	2	5	3	3	3	5	4	2	4	2
1390980241999	灰仙人	4	5	5	4	4	5	5	3，R8	5	3	4	5	5	5	4	2	3	N	4	N	5	3	2	3	2
1368424849995	樱 岛 麻 依	4	5	5	4	4	5	4	3	5	5	4	4	5	5	4	2	3	无	4	3	5	3	2	3	2
1021469587578	格子衬衫丷C	5	5	5	4	4	5	4	3	5	4	4	4	5	5	4	2	3	3	4	4	5	3	2	4	2
1215635909121	星原卯月	5	5	5	4	4	5	5	3+120	5	5	4	5	5	5	5	2	3	3	4	5	5	5	2	5	3
1101493112332	大花裤衩	4	5	5	4	4	5	5	3	5	4	4	5	5	5	4	2	3	3	4	4	5	4	2	3	2
1050594065966	夏冰	5	5	5	4	4	5	5	3	5	4	3(+120碎片)	5	5	4	4	2	4	3	4	4	5	4	2	4	2
1277521401906	残念	4	5	5	4	4	5	5	3	5	5	5	5	5	5	4	2	3	3	3	4	5	5	2	3	2
1122878713939	飞跃冰点	4	4	5	4	3	5	4	3	5	4	4	5	5	5	4	2	4	3	3	4	5	3	2	5	2
